address,balance,
MAN.Cg4q7HDQK7hAAyPbV8ktjdetiadr,155.33949676,
MAN.CpWt7nWqCrLBGbEinsfx8MSQ2Dd6,0.96763338,
MAN.Cu49sRKme1s93oRk7co6jCrYyKQb,1182.98324676,
MAN.CzvQ45Ttko4pemM1Jj3P9DwVwf23,1,
MAN.D1x1MrMTTA9nqTLrs7dKaWJkyLm8,0.01123886,
MAN.D3jXBZpWgg2xzKPUnHiRsxzgbCUq,6825,
MAN.D5WdPhgyQa4SwapYFU6YRqGFYn9d,20,
MAN.D6CCnUkcsSdbYK6DNgnrv7VssmBE,610.860052772455837161,
MAN.DAJW9Xc4vByhE91cLyUD4ATszhNH,0.565046893,
MAN.DCjNSJK68JD65s1UX5MaG2EfB7LK,2783,
MAN.DCvZ8mhW2zVqpZXPGWWGcj6B5ERz,0.081918541,
MAN.DGJmo3hV3XUkM1RP6bnmeFYz3sZ5,90.827334371174568532,
MAN.DGrmKYV21TU9C1ZAaWQ6knxZcACJ,791.966123598682015845,
MAN.DHuBfnd4Et7HFGeE88Dq5S5aekDg,3244.84469233,
MAN.DJMnZCxxiPcgNxHccvqVtNZM7obo,615.50396814,
MAN.DMs23uJeCjt3HRAg7Wi891y8aTzb,0.959652221,
MAN.DNYzZEc3wbEiRu5XCz4MqZGqzkbL,0.637568315,
MAN.DQhHdgbU1XTQK4K3PVNBFbWvqi5p,0.768577113,
MAN.DSr3sPZ2ewFymFVeDqk2atEvTWWu,0.679711683,
MAN.DTFjDtCLju3qAgsp8c9B6WdWgXMV,0.641908887,
MAN.DTf8MChU7oYfMLvAFqZt4JB85j8M,0.286355622,
MAN.DWd1f32F7yKRdPWSRfan9sRifZka,0.315776756,
MAN.DXsJdoKGSenUjwuwpuGYq4USJYJM,0.410474381,
MAN.DYXPM5scyp8VG7NhXoeU1aU8iZom,3261.152096852295045874,
MAN.DfLAXStH7U5atvRFwaR9fRN9JkJN,0,
MAN.DjrhRENPoQAh3ppnzuPE4nvzYBnH,10.45649132,
MAN.DpJYuo7BoSjhC9bbg1qQovMnoEyD,0.822829237,
MAN.DskaFtCF7a2x76PQaZ95aVjr2mAc,1,
MAN.DvMUrenWDrEhpn43jyTpXk5gHrdw,0.8,
MAN.DyQzcg2HdsGr4eBfMWLue8dZitLf,0.229373041,
MAN.DzdATXA5hyZVpCgBqGWRbXmg6irr,0.378394639,
MAN.E2VdhrRGhRKKAmpe8vy7s4hZYgD7,0.939737301,
MAN.E4QAu9ztD7nUG7Zv3hDbsqnb8ZAy,0.500067641,
MAN.EByJWXbySfUXnAzqZEgCrptxxsci,0.846547254,
MAN.EPNGahsiFM4fw9hB3MA1AbquDRrh,32.84262176,
MAN.EVxNQdYkLw22ZTAzAFa7si4wUNpq,11,
MAN.EXHH9x2ZdMvebkLCgTjaJLKCrYch,0.043102723,
MAN.EZZh88N8pHN5jSTqVda92m1a4Y2u,344.195328696,
MAN.Ecn9AxumCMVXnhNTrtJtuA3dyay2,10347.34201739,
MAN.Ed3ExvzpwLDeHguRMEoJpmSjLGMz,0.221153375,
MAN.EgtJHbJNUvYTMN9ZKqHTaFGRNuhY,0.981909046,
MAN.Eh2uNMiFmWd4afV7Xa1ZjFSt37b6,0.507084328,
MAN.Endii3m2K2DUQnfVvYDjS5UvFQE9,4004.135,
MAN.Ev5cQud1Qir4jK3Q88EaMQYEZapu,0.831514774,
MAN.EwTsVGYG8suPHygGN3zhHAHJuE7R,0.730729984,
MAN.Ex996tqZhSbRZnksGGAN3c3GmKbz,41.765625,
MAN.F6W9fcKaq1g6FueTcFsYEEKedECf,5,
MAN.F6uwryHdW477JcRYfCtsVfifMHqJ,1121.740383798020896042,
MAN.F7XekanQuyQrf1knTQy6t233JMuF,1750,
MAN.FC1qooaNwMkmmWBVUGQZMpXv3BgN,1228.370330826309741546,
MAN.FCpxinEAhrkd3STEXdes3dzqr5uZ,0.813149741,
MAN.FD3s7GoBdSa1S9Hiq7ATAkVUraxn,0.98891658,
MAN.FDGoKPEKkA7i9GxrBnH6JgLX2tW6,420.01875,
MAN.FPA8Ht2GoGDfo32EC9pZoUdzYYCN,705.178802772455837161,
MAN.FT2oF54PuhJebsHvN35CpuZoEtoN,0.918177056,
MAN.FXXFLRZ5XCz8fo61jcmauFbZwPsS,0.597440007,
MAN.Fci8M9KQ9iEhJagLvbqLUkzyYUaK,0.238363126,
